id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13624908,Private Room in JC heights minutes to NYC/Hoboken,6958867,Gennadiy,,Ward D (councilmember Michael Yun),40.75426,-74.04458,Private room,50,28,60,2025-04-11,0.55,36,92,3,
13634025,Large Private Room mins to NYC/Hoboken,6958867,Gennadiy,,Ward D (councilmember Michael Yun),40.75313,-74.04469,Private room,,28,80,2025-05-18,0.74,36,14,6,Exempt
13955869,Modern Urban Oasis in JC-Heights Trendy District,8713716,Juan & April,,Ward D (councilmember Michael Yun),40.75073,-74.04889,Entire home/apt,89,2,129,2024-11-28,1.19,4,282,1,STR-001001-2025
13961481,Beautiful room and private bathroom mins from PATH,51652045,Ruth,,Ward C (councilmember Richard Boggiano),40.72841,-74.06902,Private room,118,3,114,2025-06-17,1.05,2,334,25,STR-006112-2024
13994516,Spacious Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2016-09-07,0.01,14,365,0,
14023614,Beautiful Studio | Equipped Kitchen+Work Desk | JC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,8,2020-10-18,0.08,37,330,0,
14095258,207-2D Private Bedroom 17 Mins 2 NYC Times SQ W&D,443343607,,,Ward D (councilmember Michael Yun),40.7497,-74.04523,Private room,33,30,197,2023-09-09,1.82,35,242,0,
14398322,Airy oversized room $63_3 blocks Grove PATH,55599663,Lorraine,,Ward F (councilmember Jermaine D. Robinson),40.72028,-74.04694,Private room,63,30,37,2025-04-13,0.35,3,201,4,
14874590,Loft 3bd 2ba 5 Steps To Train NYC,91382887,Daniel,,Ward F (councilmember Jermaine D. Robinson),40.71114,-74.07054,Entire home/apt,192,28,230,2025-02-01,2.14,6,242,5,
15132128,Furnished BED+BATH close to NYC on train,30374905,Sam,,Ward C (councilmember Richard Boggiano),40.73715,-74.05481,Private room,88,28,21,2025-01-23,0.20,2,62,5,
15157180,Spacious& Bright 1BR in Jersey City| Mins to NYC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,14,2023-01-16,0.13,37,330,0,
15159153,Bright + Spacious 1BR | Work Desk&WiFi | Near PATH,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,12,2020-09-23,0.11,37,330,0,
15159490,Beautiful 1BR | Kitchen | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,3,2020-01-26,0.04,37,330,0,
15161132,Lux Studio | Great for Travel Nurses | Near PATH,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,6,2020-11-14,0.09,37,330,0,
15406114,Charming Studio 20 Minutes to Midtown NYC,22541573,Furnished Quarters,,Ward E (councilmember James Solomon),40.71924,-74.04119,Entire home/apt,195,30,7,2022-08-27,0.07,26,318,0,
15495642,Modern Jersey City 2BR| Work Desk + WiFi |Newport,95459395,Bluebird,,Ward E (councilmember James Solomon),40.724545,-74.035912,Entire home/apt,,28,7,2023-12-28,0.11,10,360,0,
15535413,5 min walk Grove PATH/JCMed Ctr - Bargain Location,46201,J,,Ward E (councilmember James Solomon),40.71765,-74.044,Private room,52,28,77,2025-03-25,0.73,2,31,6,
16032277,Modern 3BD 2BT steps to train NYC,91382887,Daniel,,Ward F (councilmember Jermaine D. Robinson),40.70953,-74.072,Entire home/apt,176,28,183,2024-12-18,1.75,6,219,6,
16039551,JC-Grove St Easy commute to NYC or JCMC-5 min walk,46201,J,,Ward E (councilmember James Solomon),40.71647,-74.04622,Private room,,28,94,2025-02-21,0.94,2,0,31,
16055831,Jersey City Victorian Home w/ Parking and Backyard,67506472,Ben,,Ward B (councilmember Mira Prinz-Arey),40.72876,-74.07355,Entire home/apt,273,4,51,2025-03-31,0.53,1,25,10,STR-006189-2024
16100238,Comfortable Private Room Near NYC #2,81986778,Mar,,Ward C (councilmember Richard Boggiano),40.73764,-74.05078,Private room,82,2,116,2025-06-01,1.12,6,322,12,STR-001299-2025
16207328,"Pristine 3 Bedrooms, w/parking. Close to NYC",18410314,Abe,,Ward A (councilmember Denise Ridley),40.68797,-74.09351,Entire home/apt,248,4,168,2025-06-21,1.82,1,253,23,STR-001135-2025
16236208,"Mi casa, su casa (My home is your home)",35007600,Sudip,,Ward D (councilmember Michael Yun),40.74371,-74.05994,Private room,546,28,0,,,1,269,0,
16276284,3 BED 1 BATH apartment,106456209,Mil,,Ward F (councilmember Jermaine D. Robinson),40.71054,-74.07533,Entire home/apt,173,3,6,2025-06-22,2.14,1,199,6,Exempt
16768628,Amazing Private Room Near NYC #1,81986778,Mar,,Ward C (councilmember Richard Boggiano),40.73804,-74.0517,Private room,85,2,115,2025-06-21,1.14,6,255,14,STR-001299-2025
16965564,Cozy Studio Minutes to NY in Historic Neighborhood,58456224,Melissa,,Ward E (councilmember James Solomon),40.71349,-74.03892,Entire home/apt,136,2,434,2025-05-28,4.25,2,193,35,STR-005926-2024
17122499,"Charming Bright Apartment, Parking, 25 mins to NYC",19786530,Stanislav,,Ward C (councilmember Richard Boggiano),40.7434,-74.05907,Entire home/apt,150,28,309,2024-12-30,3.04,3,328,15,
17185572,Bright Big room Queen size bed 7 min to PATH WIFI,1410306,Eugene,,Ward C (councilmember Richard Boggiano),40.73216,-74.05622,Private room,75,28,78,2025-02-01,0.77,31,39,3,Exempt
17317408,"2 Bedroom Apartment, 1 Min from Grove Street PATH",22541573,Furnished Quarters,,Ward E (councilmember James Solomon),40.71941,-74.04303,Entire home/apt,366,30,4,2025-01-07,0.04,26,331,1,
17464142,Private Cozy room WiFi 8min walk PATH 15min to NYc,1410306,Eugene,,Ward C (councilmember Richard Boggiano),40.73172,-74.05582,Private room,46,28,48,2025-04-12,0.48,31,91,6,Exempt
17478644,"99 ""1"" Big room right by JSQ PAth train/FAST WIFI",6958867,Gennadiy,,Ward C (councilmember Richard Boggiano),40.73279,-74.05625,Private room,49,28,70,2025-05-26,0.70,36,73,4,Exempt
17587004,Cozy Private Room/5 min walk JSQ Path train/WIFI,6958867,Gennadiy,,Ward C (councilmember Richard Boggiano),40.73297,-74.0561,Private room,47,28,23,2025-03-31,0.23,36,52,4,
17994898,Beautiful room with private bathroom and garden.,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.71346,-74.06313,Private room,84,2,270,2025-06-01,2.72,10,295,21,STR-001786-2025
18359238,"Beautiful, clean, pvt bedroom 25 min to TIMES SQ!",58763745,Dena,,Ward C (councilmember Richard Boggiano),40.74203,-74.05828,Private room,65,28,159,2025-02-16,1.60,3,318,22,
18388155,Luxury JC 1BR | Work from home | Free WiFi + Desk,95459395,Bluebird,,Ward E (councilmember James Solomon),40.724545,-74.035912,Entire home/apt,,28,2,2020-09-12,0.02,10,365,0,
18444319,Beautiful Newport 2BR | Upscale Amenities w/ Gym,95459395,Bluebird,,Ward E (councilmember James Solomon),40.724545,-74.035912,Entire home/apt,,28,1,2021-12-20,0.02,10,338,0,
18445468,Romantic Getaway! Minutes to NYC!,26482455,Simone,,Ward C (councilmember Richard Boggiano),40.72825,-74.05444,Entire home/apt,100,29,26,2019-12-08,0.26,1,276,0,
18584159,"Sunny, spacious apt - steps to NYC! Downtown JC",318287,Cindy,,Ward E (councilmember James Solomon),40.72955,-74.04197,Entire home/apt,,28,117,2025-03-13,1.18,3,269,6,
19412223,Large studio w/workspace & garden-2 stops to NYC,49528044,Hiran H,,Ward E (councilmember James Solomon),40.7236328125,-74.04303741455078,Entire home/apt,,3,208,2025-05-14,2.15,1,0,29,STR-003147-2024
